mean,std,median,range,entropy,skew,filename
18.960968,33.410675,1.7631692e-07,114.10162,1.8274093911514269,18.960968,approx5050CsMA0016.ibw
12.7835455,23.701466,9.136383e-08,126.02725,1.9007961561883042,12.7835455,Cs50MA50approx_0024.ibw
10.863675,20.175865,9.288362e-08,104.70576,1.7835439706540608,10.863675,Cs50MA50approx_0032.ibw
13.690366,25.575628,1.9147703e-07,116.974525,2.0878077466842173,13.690366,approx5050CsMA0012.ibw
9.23005,20.969765,-3.334972e-08,135.47026,1.9663869008838046,9.23005,Cs50MA50approx_0052.ibw
5.469396,12.327652,6.2094315e-08,90.10034,1.7364181370724152,5.469396,Cs50MA50approx_0051.ibw
11.789378,22.090847,7.691265e-08,117.70141,1.559533442985813,11.789378,approx5050compos_0010.ibw
16.741306,29.365042,0.00025452903,117.89459,1.4194288822756351,16.741053,approx5050CsMA0022.ibw
